Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Joubert (2017) - DNA Methylation in Newborns and,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,2022,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Saliva,450K,Mixed,Mid childhood,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Reese (2017) - DNA Methylation Score as a,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,2023,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Cord blood,EPICv1,Mixed,Birth,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.",Reese (2017) - DNA Methylation Score as aMaternal smoking,Reese (2017) - DNA Methylation Score as a,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
Sikdar (2019) - Comparison of smoking-related DNA,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,2023,EWAS summary statistics,,Lifestyle and environment,Maternal smoking,Cord blood,EPICv1,Mixed,Birth,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,2023,EWAS summary statistics,,Lifestyle and environment,Maternal smoking,Cord blood,EPICv1,Mixed,Birth,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sikdar (2019) - Comparison of smoking-related DNA,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,2023,EWAS summary statistics,,Lifestyle and environment,Maternal smoking,Cord blood,EPICv1,Mixed,Birth,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Rauschert (2020) - Machine Learning-Based DNA Methylation,Developmental origins of psycho-cardiometabolic multimorbidity in adolescence and their underlying pathways through methylation markers: a two-cohort study,2024,Validated MPS algorithm,Yes,Lifestyle and environment,Maternal smoking,Peripheral blood,450K,European,Adolescence,Not reported,Rauschert (2020) - Machine Learning-Based DNA MethylationMaternal smoking,Rauschert (2020) - Machine Learning-Based DNA Methylation,Lifestyle and environment,Maternal smoking,Peripheral blood,450K,European,Adolescence,Not reported
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,2022,Validated MPS algorithm,No,Genetic syndromes,BAFopathy syndrome: no subtype specified,Whole blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,No,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesBAFopathy syndrome: no subtype specified,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,2022,Validated MPS algorithm,No,Genetic syndromes,BAFopathy syndrome: no subtype specified,Whole blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,No,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesBAFopathy syndrome: no subtype specified,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,BAFopathy syndrome: no subtype specified,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,2022,Validated MPS algorithm,No,Genetic syndromes,Rubinstein-Taybi syndrome (RSTS),Whole blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,No,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesRubinstein-Taybi syndrome (RSTS),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Rubinstein-Taybi syndrome (RSTS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,2022,Validated MPS algorithm,No,Genetic syndromes,Velocardiofacial syndrome (VCFS),Whole blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,No,Unclear - EpiSignv2Velocardiofacial syndrome (VCFS),Unclear - EpiSignv2,Genetic syndromes,Velocardiofacial syndrome (VCFS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,2022,Validated MPS algorithm,No,Genetic syndromes,Wolf-Hirschhorn syndrome (WHS),Whole blood,"Multiple (450K, EPICv1)",Not reported,Childhood and adolescence,No,Unclear - EpiSignv2Wolf-Hirschhorn syndrome (WHS),Unclear - EpiSignv2,Genetic syndromes,Wolf-Hirschhorn syndrome (WHS),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,2022,Validated MPS algorithm,No,Genetic syndromes,Kabuki syndrome,Whole blood,"Multiple (450K, EPICv2)",Not reported,Childhood and adolescence,No,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesKabuki syndrome,Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,Kabuki syndrome,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Ligthart (2016) - DNA methylation signatures of chronic,Immuno-epigenetic signature derived in saliva associates with the encephalopathy of prematurity and perinatal inflammatory disorders,2023,Validated MPS algorithm,No,Biological markers,C-reactive protein,Saliva,EPICv1,European,Very early childhood,"gestational age at birth, infant sex and birthweight z-score (model H2), and then adjusted for gestational age at birth, infant sex and birthweight z-score as well as administration of MgSO4 and corticosteroids in pregnancy (model H3)",Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Reese (2017) - DNA Methylation Score as a,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2023,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",European,Birth,Only on EWAS level,Reese (2017) - DNA Methylation Score as aMaternal smoking,Reese (2017) - DNA Methylation Score as a,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
Rauschert (2020) - Machine Learning-Based DNA Methylation,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2023,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",European,Birth,Only on EWAS level,Rauschert (2020) - Machine Learning-Based DNA MethylationMaternal smoking,Rauschert (2020) - Machine Learning-Based DNA Methylation,Lifestyle and environment,Maternal smoking,Peripheral blood,450K,European,Adolescence,Not reported
Joubert (2017) - DNA Methylation in Newborns and,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2023,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",European,Birth,Only on EWAS level,Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Joubert (2017) - DNA Methylation in Newborns and,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2023,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,Only on EWAS level,Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Joubert (2017) - DNA Methylation in Newborns and,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2023,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,Only on EWAS level,Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Joubert (2017) - DNA Methylation in Newborns and,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2023,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",European,Birth,Only on EWAS level,Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,The phenotypic spectrum and genotype-phenotype correlations in 106 patients with variants in major autism gene CHD8,2022,Validated MPS algorithm,No,Genetic syndromes,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Not reported,EPICv1,Not reported,Childhood and adolescence,No,Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesAUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Genetic syndromes,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Not reported,"Cell type, 10 PCs"
Ligthart (2016) - DNA methylation signatures of chronic,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,2022,Validated MPS algorithm,No,Biological markers,C-reactive protein,Cord blood,450K,European,Birth,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates",Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Ligthart (2016) - DNA methylation signatures of chronic,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,2022,Validated MPS algorithm,No,Biological markers,C-reactive protein,Peripheral blood,450K,European,Mid childhood,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates",Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Stevenson (2021) - Creating and Validating a DNA,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,2022,Validated MPS algorithm,No,Biological markers,IL6,Cord blood,450K,European,Birth,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates",Stevenson (2021) - Creating and Validating a DNAIL6,Stevenson (2021) - Creating and Validating a DNA,Biological markers,IL6,Whole blood,450K,European,Adults,"age, sex, cell-type"
Stevenson (2021) - Creating and Validating a DNA,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,2022,Validated MPS algorithm,No,Biological markers,IL6,Peripheral blood,450K,European,Mid childhood,"sex, BMI, methodological covariates of 10 DNAm informed PCs and the fully adjusted model additionally included methodological covariates of DNAm WBC estimates",Stevenson (2021) - Creating and Validating a DNAIL6,Stevenson (2021) - Creating and Validating a DNA,Biological markers,IL6,Whole blood,450K,European,Adults,"age, sex, cell-type"
Ligthart (2016) - DNA methylation signatures of chronic,Gestational age acceleration is associated with epigenetic biomarkers of prenatal physiologic stress exposure,2022,Validated MPS algorithm,No,Biological markers,C-reactive protein,Cord blood,450K,Hispanic,Birth,Cell type,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Peng (2019) - Epigenome-wide association study reveals ,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Peng (2019) - Epigenome-wide association study reveals Allergy,Peng (2019) - Epigenome-wide association study reveals ,Disease,Allergy,Peripheral blood,450K,Mixed,Mid childhood,"maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells)."
Peng (2019) - Epigenome-wide association study reveals ,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Peng (2019) - Epigenome-wide association study reveals Allergy,Peng (2019) - Epigenome-wide association study reveals ,Disease,Allergy,Peripheral blood,450K,Mixed,Mid childhood,"maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells)."
Xu (2021) - Shared DNA methylation signatures in,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Xu (2021) - Shared DNA methylation signatures inAllergy,Xu (2021) - Shared DNA methylation signatures in,Disease,Allergy,Whole blood,450K,European,Childhood,"sex, cohort, and technical covariables"
Xu (2021) - Shared DNA methylation signatures in,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Xu (2021) - Shared DNA methylation signatures inAllergy,Xu (2021) - Shared DNA methylation signatures in,Disease,Allergy,Whole blood,450K,European,Childhood,"sex, cohort, and technical covariables"
Reese (2019) - Epigenome-wide meta-analysis of,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Chen (2017) - An epigenome-wide association study,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Chen (2017) - An epigenome-wide association studyAtopic status,Chen (2017) - An epigenome-wide association study,Disease,Atopic status,Leukocytes,450K,Hispanic,Late childhood,"age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types"
Chen (2017) - An epigenome-wide association study,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Chen (2017) - An epigenome-wide association studyAtopic status,Chen (2017) - An epigenome-wide association study,Disease,Atopic status,Leukocytes,450K,Hispanic,Late childhood,"age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types"
Everson (2015) - DNA methylation loci associated with,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Everson (2015) - DNA methylation loci associated withAtopic status,Everson (2015) - DNA methylation loci associated with,Disease,Atopic status,Whole blood,450K,European,Adolescence,cell-type proportions and sex
Everson (2015) - DNA methylation loci associated with,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Everson (2015) - DNA methylation loci associated withAtopic status,Everson (2015) - DNA methylation loci associated with,Disease,Atopic status,Whole blood,450K,European,Adolescence,cell-type proportions and sex
