Author,Year,Title,Journal,DOI,n MPSs,Phenotype(s),Category,n CpGs,Based on,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Mirza-Schreiber et al.,2022.0,Blood DNA methylation provides an accurate biomarker of KMT2B-related dystonia and predicts onset,Brain,10.1093/brain/awab360,1.0,Kabuki syndrome,Genetic syndromes,113.0,Raw individual-level data,Case control,64.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Mirza-Schreiber, N.', 'Zech, M.', 'Wilson, R.', 'Brunet, T.', 'Wagner, M.', 'Jech, R.', 'Boesch, S.', 'Škorvánek, M.', 'Necpál, J.', 'Weise, D.', 'Weber, S.', 'Mollenhauer, B.', 'Trenkwalder, C.', 'Maier, E. M.', 'Borggraefe, I.', 'Vill, K.', 'Hackenberg, A.', 'Pilshofer, V.', 'Kotzaeridou, U.', 'Schwaibold, E. M. C.', 'Hoefele, J.', 'Waldenberger, M.', 'Gieger, C.', 'Peters, A.', 'Meitinger, T.', 'Schormair, B.', 'Winkelmann, J.', 'Oexle, K.']",2022-05-20
Bernabeu et al.,2025.0,Blood-based epigenome-wide association study and prediction of alcohol consumption,Clin Epigenetics,10.1186/s13148-025-01818-y,1.0,Alcohol consumption,Lifestyle and environment,659.0,Published summary statistics (semi-supervised),Population-based,2152.0,Adolescence,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Bernabeu, E.', 'Chybowska, A. D.', 'Kresovich, J. K.', 'Suderman, M.', 'McCartney, D. L.', 'Hillary, R. F.', 'Corley, J.', 'Valdes-Hernandez, M. D. C.', 'Maniega, S. M.', 'Bastin, M. E.', 'Wardlaw, J. M.', 'Xu, Z.', 'Sandler, D. P.', 'Campbell, A.', 'Harris, S. E.', 'McIntosh, A. M.', 'Taylor, J. A.', 'Yousefi, P.', 'Cox, S. R.', 'Evans, K. L.', 'Robinson, M. R.', 'Vallejos, C. A.', 'Marioni, R. E.']",2025-01-25
van der Laan et al.,2025.0,CUL3-related neurodevelopmental disorder: Clinical phenotype of 20 new individuals and identification of a potential phenotype-associated episignature,HGG Adv,10.1016/j.xhgg.2024.100380,1.0,Neurodevelopmental disorder with or without autism or seizures,Genetic syndromes,213.0,Raw individual-level data,Case control,52.0,Childhood and adolescence,Whole blood,EPICv1,Not reported,"['van der Laan, L.', 'Silva, A.', 'Kleinendorst, L.', 'Rooney, K.', 'Haghshenas, S.', 'Lauffer, P.', 'Alanay, Y.', 'Bhai, P.', 'Brusco, A.', 'de Munnik, S.', 'de Vries, B. B. A.', 'Vega, A. D.', 'Engelen, M.', 'Herkert, J. C.', 'Hochstenbach, R.', 'Hopman, S.', 'Kant, S. G.', 'Kira, R.', 'Kato, M.', 'Keren, B.', 'Kroes, H. Y.', 'Levy, M. A.', 'Lock-Hock, N.', 'Maas, S. M.', 'Mancini, G. M. S.', 'Marcelis, C.', 'Matsumoto, N.', 'Mizuguchi, T.', 'Mussa, A.', 'Mignot, C.', 'Narhi, A.', 'Nordgren, A.', 'Pfundt, R.', 'Polstra, A. M.', 'Trajkova, S.', 'van Bever, Y.', 'Jose van den Boogaard, M.', 'van der Smagt, J. J.', 'Barakat, T. S.', 'Alders, M.', 'Mannens, Mmam', 'Sadikovic, B.', 'van Haelst, M. M.', 'Henneman, P.']",2025-01-09
Ruiz-Ramos et al.,2025.0,Characterizing the Social Epigenome in Mexican Patients with Early-Onset Psychosis,Genes,10.3390/genes16050591,5.0,Early-onset psychosis,Neuro-psychiatric health indicators,"Multiple (88916.0, 9832.0, 101.0, 8.0, 3.0)",Raw individual-level data,Case control,23.0,Adolescence,Whole blood,EPICv1,Latinx,"['Ruiz-Ramos, D.', 'Martinez-Magana, J. J.', 'Juarez-Rojop, I. E.', 'Nolasco-Rosales, G. A.', 'Sosa-Hernandez, F.', 'Cruz-Castillo, J. D.', 'Cavazos, J.', 'Callejas, A.', 'Zavaleta-Ramirez, P.', 'Zorrilla-Dosal, J. A.', 'Lanzagorta, N.', 'Nicolini, H.', 'Montalvo-Ortiz, J. L.', 'Glahn, D. C.', 'Genis-Mendoza, A. D.']",2025-05-17
Martins et al.,2021.0,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,Neurobiol Stress,10.1016/j.ynstr.2021.100336,2.0,"Multiple (Fetal alcohol syndrome, Maternal smoking (older children))","Multiple (Physical health indicators, Lifestyle and environment)","Multiple (658.0, 15.0)","Multiple (Published summary statistics (semi-supervised), Pre-established MPS)",Cohort study,173.0,Early childhood,Buccal cells,EPICv1,Not reported,"['Martins, J.', 'Czamara, D.', 'Sauer, S.', 'Rex-Haffner, M.', 'Dittrich, K.', 'Dorr, P.', 'de Punder, K.', 'Overfeld, J.', 'Knop, A.', 'Dammering, F.', 'Entringer, S.', 'Winter, S. M.', 'Buss, C.', 'Heim, C.', 'Binder, E. B.']",2021-11-03
Ciolfi et al.,2021.0,Childhood-onset dystonia-causing KMT2B variants result in a distinctive genomic hypermethylation profile,Clin Epigenetics,10.1186/s13148-021-01145-y,1.0,Kabuki syndrome,Genetic syndromes,196.0,Raw individual-level data,Case control,27.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Ciolfi, A.', 'Foroutan, A.', 'Capuano, A.', 'Pedace, L.', 'Travaglini, L.', 'Pizzi, S.', 'Andreani, M.', 'Miele, E.', 'Invernizzi, F.', 'Reale, C.', 'Panteghini, C.', 'Iascone, M.', 'Niceta, M.', 'Gavrilova, R. H.', 'Schultz-Rogers, L.', 'Agolini, E.', 'Bedeschi, M. F.', 'Prontera, P.', 'Garibaldi, M.', 'Galosi, S.', 'Leuzzi, V.', 'Soliveri, P.', 'Olson, R. J.', 'Zorzi, G. S.', 'Garavaglia, B. M.', 'Tartaglia, M.', 'Sadikovic, B.']",2021-08-11
Foroutan et al.,2022.0,Clinical Utility of a Unique Genome-Wide DNA Methylation Signature for KMT2A-Related Syndrome,Int J Mol Sci,10.3390/ijms23031815,1.0,Wiedemann-Steiner syndrome (WDSTS),Genetic syndromes,207.0,Raw individual-level data,Case control,123.0,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Foroutan, A.', 'Haghshenas, S.', 'Bhai, P.', 'Levy, M. A.', 'Kerkhof, J.', 'McConkey, H.', 'Niceta, M.', 'Ciolfi, A.', 'Pedace, L.', 'Miele, E.', 'Genevieve, D.', 'Heide, S.', 'Alders, M.', 'Zampino, G.', 'Merla, G.', 'Fradin, M.', 'Bieth, E.', 'Bonneau, D.', 'Dieterich, K.', 'Fergelot, P.', 'Schaefer, E.', 'Faivre, L.', 'Vitobello, A.', 'Maitz, S.', 'Fischetto, R.', 'Gervasini, C.', 'Piccione, M.', 'van de Laar, I.', 'Tartaglia, M.', 'Sadikovic, B.', 'Lebre, A. S.']",2022-02-09
Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,Genet Med,10.1038/s41436-020-01096-4,25.0,"Multiple (AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM), BAFopathy syndrome: no subtype specified, CHARGE syndrome, Claes-Jensen syndrome, Cornelia de Lange syndrome (CdLS), Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS), Helsmoortel–van der Aa syndrome (HVDAS) / ADNP, Intellectual developmental disorder, X-linked 93 (MRX93), Kabuki syndrome, Kleefstra syndrome (Kleefstra), Koolen de Vreis syndrome (KDVS), Rubinstein-Taybi syndrome (RSTS), Sotos syndrome, Tatton–Brown–Rahman syndrome (TBRS), Wiedemann-Steiner syndrome (WDSTS), X-linked alpha-thalassemia/mental retardation syndrome (ATRX), Angelman syndrome, Beckwith-Wiedemann syndrome (BWS), Blepharophimosis intellectual disability syndrome, SMARCA2 type, Fragile X syndrome (FXS), Intellectual developmental disorder, autosomal dominant 23 (MRD23), Kagami–Ogatta syndrome (KOS), Prader–Willi syndrome, Silver Russel syndrome 1 (SRS1), Williams–Beuren deletion syndrome (WBS) and Williams–Beuren regions duplication syndrome (Dup7))",Genetic syndromes,"Multiple (103.0, 140.0, 148.0, 127.0, 128.0, 106.0, 105.0, 110.0, 153.0, 107.0, 136.0, 139.0, 112.0, 104.0, 101.0, nan)",Pre-established MPS,Case control,207.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Sadikovic, B.', 'Levy, M. A.', 'Kerkhof, J.', 'Aref-Eshghi, E.', 'Schenkel, L.', 'Stuart, A.', 'McConkey, H.', 'Henneman, P.', 'Venema, A.', 'Schwartz, C. E.', 'Stevenson, R. E.', 'Skinner, S. A.', 'DuPont, B. R.', 'Fletcher, R. S.', 'Balci, T. B.', 'Siu, V. M.', 'Granadillo, J. L.', 'Masters, J.', 'Kadour, M.', 'Friez, M. J.', 'van Haelst, M. M.', 'Mannens, Mmam', 'Louie, R. J.', 'Lee, J. A.', 'Tedder, M. L.', 'Alders, M.']",2021-06-03
Geysens et al.,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,Genome Med,10.1186/s13073-024-01419-z,10.0,"Multiple (Kabuki syndrome, Cornelia de Lange syndrome (CdLS), Sotos syndrome, Wiedemann-Steiner syndrome (WDSTS))",Genetic syndromes,"Multiple (153.0, 128.0, 112.0, 104.0, nan)","Multiple (Pre-established MPS, Raw individual-level data)",Case control,"Multiple (60.0, 9.0)","Multiple (Childhood, Childhood and adolescence)",Peripheral blood,"Multiple (EPICv1, Nanopore sequencing)",Not reported,"['Geysens, M.', 'Huremagic, B.', 'Souche, E.', 'Breckpot, J.', 'Devriendt, K.', 'Peeters, H.', 'Van Buggenhout, G.', 'Van Esch, H.', 'Van Den Bogaert, K.', 'Vermeesch, J. R.']",2025-01-10
Sabbagh et al.,2024.0,Clinico-biological refinement of BCL11B-related disorder and identification of an episignature: A series of 20 unreported individuals,Gen Med,10.1016/j.gim.2023.101007,1.0,BCL11B-RD syndrome,Genetic syndromes,130.0,Raw individual-level data,Case control,72.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Sabbagh, Q.', 'Haghshenas, S.', 'Piard, J.', 'Trouvé, C.', 'Amiel, J.', 'Attié-Bitach, T.', 'Balci, T.', 'Barat-Houari, M.', 'Belonis, A.', 'Boute, O.', 'Brightman, D. S.', 'Bruel, A. L.', 'Caraffi, S. G.', 'Chatron, N.', 'Collet, C.', 'Dufour, W.', 'Edery, P.', 'Fong, C. T.', 'Fusco, C.', 'Gatinois, V.', 'Gouy, E.', 'Guerrot, A. M.', 'Heide, S.', 'Joshi, A.', 'Karp, N.', 'Keren, B.', 'Lesieur-Sebellin, M.', 'Levy, J.', 'Levy, M. A.', 'Lozano, C.', 'Lyonnet, S.', 'Margot, H.', 'Marzin, P.', 'McConkey, H.', 'Michaud, V.', 'Nicolas, G.', 'Nizard, M.', 'Paulet, A.', 'Peluso, F.', 'Pernin, V.', 'Perrin, L.', 'Philippe, C.', 'Prasad, C.', 'Prasad, M.', 'Relator, R.', 'Rio, M.', 'Rondeau, S.', 'Ruault, V.', 'Ruiz-Pallares, N.', 'Sanchez, E.', 'Shears, D.', 'Siu, V. M.', 'Sorlin, A.', 'Tedder, M.', 'Tharreau, M.', 'Mau-Them, F. T.', 'van der Laan, L.', 'Van Gils, J.', 'Verloes, A.', 'Whalen, S.', 'Willems, M.', 'Yauy, K.', 'Zuntini, R.', 'Kerkhof, J.', 'Sadikovic, B.', 'Geneviève, D.']",2023-12-05
Metais et al.,2023.0,Clinico-pathological and epigenetic heterogeneity of diffuse gliomas with FGFR3::TACC3 fusion,Acta Neuropathol Commun,10.1186/s40478-023-01506-z,1.0,Glioma,Cancer,,Pre-established MPS,Cohort study,22.0,Childhood and adolescence,Tumour cells,EPICv1,Not reported,"['Metais, A.', 'Tauziede-Espariat, A.', 'Garcia, J.', 'Appay, R.', 'Uro-Coste, E.', 'Meyronet, D.', 'Maurage, C. A.', 'Vandenbos, F.', 'Rigau, V.', 'Chiforeanu, D. C.', 'Pallud, J.', 'Senova, S.', 'Saffroy, R.', 'Colin, C.', 'Edjlali, M.', 'Varlet, P.', 'Figarella-Branger, D.']",2023-01-16
Mathew et al.,2025.0,Comprehensive Genomic Characterization of Congenital and Infantile Cancers Reveals High Yield of Medically Meaningful Findings,JCO Precis Oncol,10.1200/po-24-00910,1.0,Central nervous system tumour ,Cancer,,Pre-established MPS,Cohort study,22.0,Childhood,Tumour cells,EPICv1,Mixed,"['Mathew, M. T.', 'Potter, S. L.', 'Schieffer, K. M.', ""O'Donovan, J."", 'Garfinkle, E. A. R.', 'Paxton, S. A.', 'Setty, B.', 'Lazow, M. A.', 'Boue, D. R.', 'Varga, E.', 'Miller, K.', 'Wheeler, G.', 'Kelly, B.', 'White, P.', 'Wilson, R. K.', 'Mardis, E. R.', 'Cottrell, C. E.']",2025-06-03
Giuili et al.,2023.0,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,12.0,"Multiple (Kabuki syndrome, Sotos syndrome)",Genetic syndromes,"Multiple (113.0, nan, 7085.0)",Raw individual-level data,Case control,"Multiple (141.0, 138.0)",Childhood and adolescence,Whole blood,"Multiple (450K, EPICv1)",Not reported,"['Giuili, E.', 'Grolaux, R.', 'Macedo, C. Z. N. M.', 'Desmyter, L.', 'Pichon, B.', 'Neuens, S.', 'Vilain, C.', 'Olsen, C.', 'Van Dooren, S.', 'Smits, G.', 'Defrance, M.']",2023-10-31
Mannisto et al.,2025.0,Congenital Hyperinsulinism and Novel KDM6A Duplications -Resolving Pathogenicity With Genome and Epigenetic Analyses,J Clin Endocrinol Metab,10.1210/clinem/dgae524,1.0,Kabuki syndrome,Genetic syndromes,153.0,Pre-established MPS,Cohort study,2.0,Childhood,Peripheral blood,EPICv1,Not reported,"['Mannisto, J. M. E.', 'Hopkins, J. J.', 'Hewat, T. I.', 'Nasser, F.', 'Burrage, J.', 'Dastamani, A.', 'Mirante, A.', 'Murphy, N.', 'Rzasa, J.', 'Kerkhof, J.', 'Relator, R.', 'Johnson, M. B.', 'Laver, T. W.', 'Weymouth, L.', 'Houghton, J. A. L.', 'Wakeling, M. N.', 'Sadikovic, B.', 'Dempster, E. L.', 'Flanagan, S. E.']",2025-04-22
Alfano et al.,2023.0,Cord blood epigenome-wide meta-analysis in six European-based child cohorts identifies signatures linked to rapid weight growth,BMC Med,10.1186/s12916-022-02685-7,1.0,Rapid weight growth,Lifestyle and environment,140.0,Raw individual-level data,Population-based,2003.0,Birth,Cord blood,"Multiple (450K, EPICv1)",European,"['Alfano, R.', 'Zugna, D.', 'Barros, H.', 'Bustamante, M.', 'Chatzi, L.', 'Ghantous, A.', 'Herceg, Z.', 'Keski-Rahkonen, P.', 'de Kok, T. M.', 'Nawrot, T. S.', 'Relton, C. L.', 'Robinson, O.', 'Roumeliotaki, T.', 'Scalbert, A.', 'Vrijheid, M.', 'Vineis, P.', 'Richiardi, L.', 'Plusquin, M.']",2023-01-17
Wang et al.,2023.0,"Correction: Clinical findings and a DNA methylation signature in kindreds with alterations in ZNF711 (European Journal of Human Genetics, (2022), 30, 4, (420-427), 10.1038/s41431-021-01018-1)",Eur J Hum Genet,10.1038/s41431-023-01499-2,1.0,ZNF711 alterations,Genetic syndromes,161.0,Raw individual-level data,Case control,85.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Wang, J.', 'Foroutan, A.', 'Richardson, E.', 'Skinner, S. A.', 'Reilly, J.', 'Kerkhof, J.', 'Curry, C. J.', 'Tarpey, P. S.', 'Robertson, S. P.', 'Maystadt, I.', 'Keren, B.', 'Dixon, J. W.', 'Skinner, C.', 'Stapleton, R.', 'Ruaud, L.', 'Gumus, E.', 'Lakeman, P.', 'Alders, M.', 'Tedder, M. L.', 'Schwartz, C. E.', 'Friez, M. J.', 'Sadikovic, B.', 'Stevenson, R. E.']",2023-12-07
Tang et al.,2021.0,DNA Methylation Data-Based Classification and Identification of Prognostic Signature of Children With Wilms Tumor,Front. cell dev. biol.,10.3389/fcell.2021.683242,1.0,Wilms Tumour prognosis,Cancer,3.0,Raw individual-level data,Cohort study,124.0,Childhood and adolescence,Tumour cells,450K,White,"['Tang, F.', 'Lu, Z.', 'Lei, H.', 'Lai, Y.', 'Lu, Z.', 'Li, Z.', 'Tang, Z.', 'Zhang, J.', 'He, Z.']",2021-12-24
