Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Link [application],Link [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Allergy,Allergy,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,5.0,,Published summary statistics (semi-supervised),167.0,,,,,,Population-based,,Late childhood,Mid childhood,Blood-clots,Peripheral blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells).","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-2",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6557548/,No,
Allergy,Allergy,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,5.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Mid childhood,Blood-clots,Peripheral blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells).","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-2",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6557548/,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,9.0,,Published summary statistics (semi-supervised),167.0,,,,,,Population-based,,Late childhood,"Birth, Childhood and adolescence",Blood-clots,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-4",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,9.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,"Birth, Childhood and adolescence",Blood-clots,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-4",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Allergy,Allergy,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,18.0,,Published summary statistics (semi-supervised),167.0,,,,,,Population-based,,Late childhood,Childhood,Blood-clots,Whole blood,EPICv1,450K,European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","sex, cohort, and technical covariables","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-5",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/,No,
Allergy,Allergy,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,18.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Childhood,Blood-clots,Whole blood,EPICv1,450K,European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","sex, cohort, and technical covariables","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-5",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/,No,
Atopic status,Atopic status,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,24.0,,Published summary statistics (semi-supervised),167.0,,,,,,Population-based,,Late childhood,Childhood and adolescence,Blood-clots,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","15 PCs, array, gender, age, cell-type","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-3",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599678/,No,
Atopic status,Atopic status,Physical health indicators,Physical health indicators,A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,24.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Childhood and adolescence,Blood-clots,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","15 PCs, array, gender, age, cell-type","https://www.embase.com/search/results?subaction=viewrecord&id=L2019126177&from=export_x000D_
http://dx.doi.org/10.1186/s13148-022-01332-3",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599678/,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,Reported | AUC |AUC 95CI = 0.55 (0.50–0.60) ‡,,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010071",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.54 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010072",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.49 (0.44, 0.55)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010073",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010074",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.52 (0.47, 0.58)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010075",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,Reported | AUC 95CI = 0.53 (0.48–0.59),,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010075",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.54 (0.49, 0.59) ‡",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010075",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010075",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI  = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010075",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Asthma,Asthma,Physical health indicators,Physical health indicators,D. M. Kothalawala; L. Kadalayil; J. A. Curtin; C. S. Murray; A. Simpson; A. Custovic; W. J. Tapper; S. H. Arshad; F. I. Rezwan; J. W. Holloway,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.","https://www.embase.com/search/results?subaction=viewrecord&id=L2015275823&from=export_x000D_
http://dx.doi.org/10.3390/jpm12010075",https://www.sciencedirect.com/science/article/pii/S009167491832788X,No,
Bohrin Opitz Syndrome (BOS),Bohrin Opitz Syndrome (BOS),Genetic syndromes,Genetic syndromes,I. Lin; Z. Awamleh; A. Wei; B. Russell; R. Weksberg; V. A. Arboleda,2022.0,ASXL1 mutations that cause Bohring Opitz Syndrome (BOS) or acute myeloid leukemia share epigenomic and transcriptomic signatures,763.0,763.0,Pre-established MPS,40.0,52.0,14.0,17.0,26.0,35.0,Case control,Case control,Not reported,Childhood and adolescence,Peripheral blood,Peripheral blood,450K,EPICv1,Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,No,No,No,Yes (n = 171) ,Not assessed,Not reported,No,No,No,No,Not reported,"Age, sex, cell-type, DNAm age residual (from Horvath DNAm age calculator) ","https://www.embase.com/search/results?subaction=viewrecord&id=L2022245515&from=export_x000D_
http://dx.doi.org/10.1101/2022.12.15.519823","https://www.embase.com/search/results?subaction=viewrecord&id=L2028142302&from=export_x000D_
http://dx.doi.org/10.1038/s41431-024-01538-6",No,
Brain tumour,Brain tumour,Cancer,Cancer,O. Lopez-Nunez; B. Cafferata; M. Santi; S. Ranganathan; T. M. Pearce; S. M. Kulich; K. M. Bailey; A. Broniscer; S. Rossi; A. Zin; M. P. Nasrallah; M. M. Li; Y. Zhong; E. Miele; R. Alaggio; L. F. Surrey,2021.0,The spectrum of rare central nervous system (CNS) tumors with EWSR1-non-ETS fusions: experience from three pediatric institutions with review of the literature,,,Pre-established MPS,5.0,2801.0,,,,,Cohort study,Cohort,Childhood and adolescence,Childhood and adolescence,Tumour cells,Tumour cells,EPICv1,450K,Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Random forest,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 1104),Not assessed,Reported | AC = .99,No,No,Not reported,No,Not reported,batch,"http://dx.doi.org/10.1111/bpa.12900_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=32997853_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med19&DO=10.1111%2fbpa.12900",https://www.nature.com/articles/nature26000,No,
Fetal alcohol syndrome,Fetal alcohol syndrome,Lifestyle and environment,Lifestyle and environment,J. Martins; D. Czamara; S. Sauer; M. Rex-Haffner; K. Dittrich; P. Dorr; K. de Punder; J. Overfeld; A. Knop; F. Dammering; S. Entringer; S. M. Winter; C. Buss; C. Heim; E. B. Binder,2021.0,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,658.0,,Published summary statistics (semi-supervised),173.0,,86.0,,87.0,,Cohort study,,Early childhood,Childhood and adolescence,Buccal cells,Buccal cells,EPICv1,450K,Not reported,Mixed,Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not assessed,,No,,Not reported,,"age, sex and cell type composition (Buccal, CD14, CD34) as well as the first three principal components (PC1, PC2, PC3)","clinical status, SVs","http://dx.doi.org/10.1016/j.ynstr.2021.100336_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=34095363_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm&DO=10.1016%2fj.ynstr.2021.100336",https://epigeneticsandchromatin.biomedcentral.com/articles/10.1186/s13072-016-0074-4,No,
Maternal smoking (older children),Maternal smoking (older children),Lifestyle and environment,Lifestyle and environment,J. Martins; D. Czamara; S. Sauer; M. Rex-Haffner; K. Dittrich; P. Dorr; K. de Punder; J. Overfeld; A. Knop; F. Dammering; S. Entringer; S. M. Winter; C. Buss; C. Heim; E. B. Binder,2021.0,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,15.0,19.0,Pre-established MPS,173.0,754.0,86.0,,87.0,,Cohort study,Population-based,Early childhood,Adulthood,Buccal cells,Peripheral blood,EPICv1,450K,Not reported,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,"Yes (later timepoint, n=230)",Reported | statistical significance | p = 0.07,"Reported | AUC 0.72 (95% CI 0.69, 0.76; P for difference = 0.97)",No,No,Not reported,Not reported,"age, sex and cell type composition (Buccal, CD14, CD34) as well as the first three principal components (PC1, PC2, PC3)","Maternal age at birth and head of household social class, SVs","http://dx.doi.org/10.1016/j.ynstr.2021.100336_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=34095363_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm&DO=10.1016%2fj.ynstr.2021.100336",https://pubmed.ncbi.nlm.nih.gov/29860346/,No,
ADAMTS,ADAMTS,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,51.0,51.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-2",https://elifesciences.org/articles/71802,No,
