Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
L. Raffington; P. T. Tanksley; L. Vinnik; A. Sabhlok; M. W. Patterson; T. Mallard; M. Malanchini; Z. Ayorech; E. M. Tucker-Drob; K. P. Harden,2023.0,Associations of DNA-Methylation Measures of Biological Aging With Social Disparities in Child and Adolescent Mental Health,10.1177/21677026231186802,"['Smoking', 'C-reactive protein']","['Lifestyle and environment', 'Biological markers']",2.0,"[np.float64(nan), np.float64(218.0)]","['Published summary statistics (semi-supervised)', 'Pre-established MPS']",1183.0,,,Twin study,Late childhood,Saliva,EPICv1,Mixed,Journal Article,Clin. Psychol. Sci.,"['Association DNAm phenotype | P-value | ?', nan]",,,,,"['Discovery EWAS | Linear regression', nan]",No,No,Not reported,No,Not reported,"['All methylation scores were residualized for technical covariates (array, slide, batch, cell composition); When used in model: Is covariate itself', 'All methylation scores were residualized for technical covariates (array, slide, batch, cell composition); when used in model: age, gender, and an Age × Gender, BMI, pubertal status, DNAm smoke, family disadvantage']"
C. Sarli; L. van der Laan; J. Reilly; S. Trajkova; D. Carli; A. Brusco; M. A. Levy; R. Relator; J. Kerkhof; H. McConkey; M. L. Tedder; C. Skinner; M. Alders; P. Henneman; R. C. M. Hennekam; C. Ciaccio; S. D'Arrigo; A. Vitobello; L. Faivre; S. Weber; A. Vincent-Devulder; L. Perrin; A. Bourgois; T. Yamamoto; K. Metcalfe; M. Zollino; U. Kini; D. Oliveira; S. B. Sousa; D. Williams; G. Cappuccio; B. Sadikovic; N. Brunetti-Pierri,2024.0,Blepharophimosis with intellectual disability and Helsmoortel-Van Der Aa Syndrome share episignature and phenotype,10.1002/ajmg.c.32089,"Blepharophimosis intellectual disability syndrome, ANDP type",Genetic syndromes,1.0,239.0,Raw (individual-level) data,,31.0,,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Am J Med Genet Part C Semin Med Genet,Association DNAm phenotype | P-value | top-ranking [thresholding],Unclear,,,,Machine learning | Support vector machine,4-fold cross-validation,No,Not reported,No,Not reported,Cell type
N. Mirza-Schreiber; M. Zech; R. Wilson; T. Brunet; M. Wagner; R. Jech; S. Boesch; M. Škorvánek; J. Necpál; D. Weise; S. Weber; B. Mollenhauer; C. Trenkwalder; E. M. Maier; I. Borggraefe; K. Vill; A. Hackenberg; V. Pilshofer; U. Kotzaeridou; E. M. C. Schwaibold; J. Hoefele; M. Waldenberger; C. Gieger; A. Peters; T. Meitinger; B. Schormair; J. Winkelmann; K. Oexle,2022.0,Blood DNA methylation provides an accurate biomarker of KMT2B-related dystonia and predicts onset,10.1093/brain/awab360,Kabuki syndrome,Genetic syndromes,1.0,113.0,Raw (individual-level) data,64.0,12.0,52.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Brain,Association DNAm phenotype | P-value | p < 5e-8,Association DNAm phenotype | Actual change in methylation | logFC > 1,,,,Machine learning | Support vector machine,Train/test split: 75/25%,"Yes (n=110,n=2278)","Reported | Specificity [99.96%, with Wilson’s 95% CI (99.72%, 100%)]; sensitivity Wilson’s 95% CI (51%, 100%). For training and test set combined, the same estimate had a 95% CI of (77%, 100%).",No,No,"sex, age and Houseman"
E. Bernabeu; A. D. Chybowska; J. K. Kresovich; M. Suderman; D. L. McCartney; R. F. Hillary; J. Corley; M. D. C. Valdes-Hernandez; S. M. Maniega; M. E. Bastin; J. M. Wardlaw; Z. Xu; D. P. Sandler; A. Campbell; S. E. Harris; A. M. McIntosh; J. A. Taylor; P. Yousefi; S. R. Cox; K. L. Evans; M. R. Robinson; C. A. Vallejos; R. E. Marioni,2025.0,Blood-based epigenome-wide association study and prediction of alcohol consumption,https://doi.org/10.1186/s13148-025-01818-y,Alcohol consumption,Lifestyle and environment,1.0,659.0,Published summary statistics (semi-supervised),2152.0,,,Population-based,Adolescence,Peripheral blood,"Multiple (450K, EPICv1)",European,Journal Article,Clin Epigenetics,Association DNAm phenotype | P-value | ?,,,,,Penalized regression | Elastic net,Train/test split: 80/20%,Yes,"Reported | Correlation, explained variance | 0.11",No,Weighted means,age and seks
L. van der Laan; A. Silva; L. Kleinendorst; K. Rooney; S. Haghshenas; P. Lauffer; Y. Alanay; P. Bhai; A. Brusco; S. de Munnik; B. B. A. de Vries; A. D. Vega; M. Engelen; J. C. Herkert; R. Hochstenbach; S. Hopman; S. G. Kant; R. Kira; M. Kato; B. Keren; H. Y. Kroes; M. A. Levy; N. Lock-Hock; S. M. Maas; G. M. S. Mancini; C. Marcelis; N. Matsumoto; T. Mizuguchi; A. Mussa; C. Mignot; A. Narhi; A. Nordgren; R. Pfundt; A. M. Polstra; S. Trajkova; Y. van Bever; M. Jose van den Boogaard; J. J. van der Smagt; T. S. Barakat; M. Alders; M. Mannens; B. Sadikovic; M. M. van Haelst; P. Henneman,2025.0,CUL3-related neurodevelopmental disorder: Clinical phenotype of 20 new individuals and identification of a potential phenotype-associated episignature,10.1016/j.xhgg.2024.100380,Neurodevelopmental disorder with or without autism or seizures,Genetic syndromes,1.0,213.0,Raw (individual-level) data,52.0,26.0,26.0,Case control,Childhood and adolescence,Whole blood,EPICv1,Not reported,Journal Article,HGG Adv,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,Train/test split: 65/35% | Leave-one-out cross-validation,No,Not reported,No,Not reported,Cell type
D. Ruiz-Ramos; J. J. Martinez-Magana; I. E. Juarez-Rojop; G. A. Nolasco-Rosales; F. Sosa-Hernandez; J. D. Cruz-Castillo; J. Cavazos; A. Callejas; P. Zavaleta-Ramirez; J. A. Zorrilla-Dosal; N. Lanzagorta; H. Nicolini; J. L. Montalvo-Ortiz; D. C. Glahn; A. D. Genis-Mendoza,2025.0,Characterizing the Social Epigenome in Mexican Patients with Early-Onset Psychosis,10.3390/genes16050591,Early-onset psychosis,Neuro-psychiatric health indicators,5.0,"[np.float64(88916.0), np.float64(9832.0), np.float64(101.0), np.float64(8.0), np.float64(3.0)]",Raw (individual-level) data,23.0,12.0,11.0,Case control,Adolescence,Whole blood,EPICv1,Latinx,Journal Article,genes,"['Association DNAm phenotype | P-value | p < .1', 'Association DNAm phenotype | P-value | p < .01', 'Association DNAm phenotype | P-value | p < .001', 'Association DNAm phenotype | P-value | p < 1e-4', 'Association DNAm phenotype | P-value | p < 1e-5']",,,,,Discovery EWAS | Linear regression,No,No,"['Reported | Association | β = 2.26, 95% CI 0.63–4.93', 'Reported | Association | β = 2.21, 95% CI 0.63–4.85', 'Reported | Association | β = 1.96, 95% CI 0.54–4.31', 'Reported | Association | β = 1.73, 95% CI 0.45–3.78', 'Reported | Association | β = 1.28, 95% CI 0.23–2.82']",Yes,Not reported,"PC1 (principal component 1), PC2, PC3, PC4, PC5, age, and seks"
J. Martins; D. Czamara; S. Sauer; M. Rex-Haffner; K. Dittrich; P. Dorr; K. de Punder; J. Overfeld; A. Knop; F. Dammering; S. Entringer; S. M. Winter; C. Buss; C. Heim; E. B. Binder,2021.0,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,10.1016/j.ynstr.2021.100336,"['Fetal alcohol syndrome', 'Maternal smoking (older children)']",Lifestyle and environment,2.0,"[np.float64(658.0), np.float64(15.0)]","['Published summary statistics (semi-supervised)', 'Pre-established MPS']",173.0,86.0,87.0,Cohort study,Early childhood,Buccal cells,EPICv1,Not reported,Journal Article,Neurobiol Stress,"['Association DNAm phenotype | P-value | FDR < .05', nan]",,,,,"['Discovery EWAS | Linear regression', nan]",No,No,"['Not assessed', 'Reported | statistical significance | p = 0.07']",No,Not reported,"age, sex and cell type composition (Buccal, CD14, CD34) as well as the first three principal components (PC1, PC2, PC3)"
A. Ciolfi; A. Foroutan; A. Capuano; L. Pedace; L. Travaglini; S. Pizzi; M. Andreani; E. Miele; F. Invernizzi; C. Reale; C. Panteghini; M. Iascone; M. Niceta; R. H. Gavrilova; L. Schultz-Rogers; E. Agolini; M. F. Bedeschi; P. Prontera; M. Garibaldi; S. Galosi; V. Leuzzi; P. Soliveri; R. J. Olson; G. S. Zorzi; B. M. Garavaglia; M. Tartaglia; B. Sadikovic,2021.0,Childhood-onset dystonia-causing KMT2B variants result in a distinctive genomic hypermethylation profile,10.1186/s13148-021-01145-y,Kabuki syndrome,Genetic syndromes,1.0,196.0,Raw (individual-level) data,27.0,18.0,9.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Clin Epigenetics,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Pruning | Pairwise correlation | < 0.90,Association DNAm phenotype | AUC | top-ranking 500,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,Yes (remaining EKD),Not reported,No,No,Cell type
A. Foroutan; S. Haghshenas; P. Bhai; M. A. Levy; J. Kerkhof; H. McConkey; M. Niceta; A. Ciolfi; L. Pedace; E. Miele; D. Genevieve; S. Heide; M. Alders; G. Zampino; G. Merla; M. Fradin; E. Bieth; D. Bonneau; K. Dieterich; P. Fergelot; E. Schaefer; L. Faivre; A. Vitobello; S. Maitz; R. Fischetto; C. Gervasini; M. Piccione; I. van de Laar; M. Tartaglia; B. Sadikovic; A. S. Lebre,2022.0,Clinical Utility of a Unique Genome-Wide DNA Methylation Signature for KMT2A-Related Syndrome,10.3390/ijms23031815,Wiedemann-Steiner syndrome (WDSTS),Genetic syndromes,1.0,207.0,Raw (individual-level) data,123.0,41.0,82.0,Case control,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Journal Article,Int J Mol Sci,Association DNAm phenotype | P-value | top-ranking 500,Association DNAm phenotype | P-value | top-ranking 500,Association DNAm phenotype | AUC | top-ranking 500,Pruning | Pairwise correlation | < 0.85,,Machine learning | Support vector machine,10-fold cross-validation,Yes (n=19),Not reported,No,No,Not reported
B. Sadikovic; M. A. Levy; J. Kerkhof; E. Aref-Eshghi,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,,"['AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM)', 'BAFopathy syndrome: no subtype specified', 'CHARGE syndrome', 'Claes-Jensen syndrome', 'Cornelia de Lange syndrome (CdLS)', 'Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)', 'Helsmoortel–van der Aa syndrome (HVDAS) / ADNP', 'Intellectual developmental disorder, X-linked 93 (MRX93)', 'Kabuki syndrome', 'Kleefstra syndrome (Kleefstra)', 'Koolen de Vreis syndrome (KDVS)', 'Rubinstein-Taybi syndrome (RSTS)', 'Sotos syndrome', 'Tatton–Brown–Rahman syndrome (TBRS)', 'Wiedemann-Steiner syndrome (WDSTS)', 'X-linked alpha-thalassemia/mental retardation syndrome (ATRX)', 'Angelman syndrome', 'Beckwith-Wiedemann syndrome (BWS)', 'Blepharophimosis intellectual disability syndrome, SMARCA2 type', 'Fragile X syndrome (FXS)', 'Intellectual developmental disorder, autosomal dominant 23 (MRD23)', 'Kagami–Ogatta syndrome (KOS)', 'Prader–Willi syndrome', 'Silver Russel syndrome 1 (SRS1)', 'Williams–Beuren deletion syndrome (WBS) and Williams–Beuren regions duplication syndrome (Dup7)']",Genetic syndromes,25.0,"[np.float64(103.0), np.float64(140.0), np.float64(148.0), np.float64(127.0), np.float64(128.0), np.float64(106.0), np.float64(105.0), np.float64(110.0), np.float64(153.0), np.float64(107.0), np.float64(136.0), np.float64(139.0), np.float64(112.0), np.float64(104.0), np.float64(101.0), np.float64(nan)]",Pre-established MPS,207.0,"[np.float64(9.0), np.float64(38.0), np.float64(10.0), np.float64(7.0), np.float64(17.0), np.float64(5.0), np.float64(11.0), np.float64(2.0), np.float64(4.0), np.float64(12.0), np.float64(6.0), np.float64(3.0)]","[np.float64(198.0), np.float64(169.0), np.float64(197.0), np.float64(200.0), np.float64(190.0), np.float64(202.0), np.float64(196.0), np.float64(205.0), np.float64(203.0), np.float64(195.0), np.float64(201.0), np.float64(204.0)]",Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Book,Genetics in …,,,,,,,No,No,Not assessed,No,Not reported,Not reported
M. Geysens; B. Huremagic; E. Souche; J. Breckpot; K. Devriendt; H. Peeters; G. Van Buggenhout; H. Van Esch; K. Van Den Bogaert; J. R. Vermeesch,2025.0,Clinical evaluation of long-read sequencing-based episignature detection in developmental disorders,,"['Kabuki syndrome', 'Cornelia de Lange syndrome (CdLS)', 'Sotos syndrome', 'Wiedemann-Steiner syndrome (WDSTS)']",Genetic syndromes,10.0,"[np.float64(153.0), np.float64(128.0), np.float64(112.0), np.float64(104.0), np.float64(nan)]","['Pre-established MPS', 'Raw (individual-level) data']","[np.float64(60.0), np.float64(9.0)]","[np.float64(2.0), np.float64(3.0)]","[np.float64(58.0), np.float64(57.0), np.float64(6.0)]",Case control,"['Childhood', 'Childhood and adolescence']",Peripheral blood,"['EPICv1', 'Nanopore secquencing']",Not reported,Journal Article,Genome Med,"[nan, 'Biological relevance | Functional annotation | Included in EpiSign']",,,,,"[nan, 'Machine learning | Support vector machine']","['No', 'Yes']",No,"['not assessed', 'Reported | Numerical match ']",Yes,Not reported,Not reported
Q. Sabbagh; S. Haghshenas; J. Piard; C. Trouvé; J. Amiel; T. Attié-Bitach; T. Balci; M. Barat-Houari; A. Belonis; O. Boute; D. S. Brightman; A. L. Bruel; S. G. Caraffi; N. Chatron; C. Collet; W. Dufour; P. Edery; C. T. Fong; C. Fusco; V. Gatinois; E. Gouy; A. M. Guerrot; S. Heide; A. Joshi; N. Karp; B. Keren; M. Lesieur-Sebellin; J. Levy; M. A. Levy; C. Lozano; S. Lyonnet; H. Margot; P. Marzin; H. McConkey; V. Michaud; G. Nicolas; M. Nizard; A. Paulet; F. Peluso; V. Pernin; L. Perrin; C. Philippe; C. Prasad; M. Prasad; R. Relator; M. Rio; S. Rondeau; V. Ruault; N. Ruiz-Pallares; E. Sanchez; D. Shears; V. M. Siu; A. Sorlin; M. Tedder; M. Tharreau; F. T. Mau-Them; L. van der Laan; J. Van Gils; A. Verloes; S. Whalen; M. Willems; K. Yauy; R. Zuntini; J. Kerkhof; B. Sadikovic; D. Geneviève,2024.0,Clinico-biological refinement of BCL11B-related disorder and identification of an episignature: A series of 20 unreported individuals,10.1016/j.gim.2023.101007,BCL11B-RD syndrome,Genetic syndromes,1.0,130.0,Raw (individual-level) data,72.0,12.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | Actual change in methylation | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 200,Pruning | Pairwise correlation | < 0.95,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | specificity 100%,No,Not reported,"Cell type, batch"
