Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Portales-Casamar (2016) - DNA methylation signature of human,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,2021,EWAS summary statistics,No,Lifestyle and environment,"Prenatal alcohol exposure, fetal alcohol syndrome",Buccal cells,EPICv1,Not reported,Early childhood,"age, sex and cell type composition (Buccal, CD14, CD34) as well as the first three principal components (PC1, PC2, PC3)","Portales-Casamar (2016) - DNA methylation signature of humanPrenatal alcohol exposure, fetal alcohol syndrome",,,,,,,,
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,"Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)",Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,"Aref-Eshghi (2019) - Evaluation of DNA Methylation EpisignaturesGenitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)",,,,,,,,
Unclear - EpiSignv2,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,2021,Validated MPS algorithm,No,Genetic syndromes,Williams–Beuren deletion syndrome (WBS) and Williams–Beuren regions duplication syndrome (Dup7),Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2Williams–Beuren deletion syndrome (WBS) and Williams–Beuren regions duplication syndrome (Dup7),,,,,,,,
Levy (2022) - Novel diagnostic DNA methylation episignatures,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,"Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,"Levy (2022) - Novel diagnostic DNA methylation episignaturesIntellectual developmental disorder, autosomal dominant 23 (MRD23)",,,,,,,,
Unclear - EpiSignv2,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2024,Validated MPS algorithm,,Genetic syndromes,KBG syndrome,Peripheral blood,EPICv1,Not reported,Childhood and adolescence,Not reported,Unclear - EpiSignv2KBG syndrome,,,,,,,,
Multiple,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,2022,EWAS summary statistics,Yes,Physical health indicators,Allergy,Nasal epithelial cells,450K,Mixed,Adolescence,Not reported,MultipleAllergy,,,,,,,,
Multiple,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,2022,EWAS summary statistics,Yes,Physical health indicators,Allergy,Nasal epithelial cells,450K,Mixed,Adolescence,Not reported,MultipleAllergy,,,,,,,,
Multiple,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,2022,EWAS summary statistics,Yes,Physical health indicators,Allergy,Nasal epithelial cells,450K,Mixed,Adolescence,Not reported,MultipleAllergy,,,,,,,,
Multiple,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,2022,EWAS summary statistics,Yes,Physical health indicators,Allergy,Nasal epithelial cells,450K,Mixed,Adolescence,Not reported,MultipleAllergy,,,,,,,,
Multiple,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,2022,EWAS summary statistics,Yes,Physical health indicators,Allergy,Nasal epithelial cells,450K,Mixed,Adolescence,Not reported,MultipleAllergy,,,,,,,,
Multiple,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,2022,EWAS summary statistics,Yes,Physical health indicators,Allergy,Nasal epithelial cells,450K,Mixed,Adolescence,Not reported,MultipleAllergy,,,,,,,,
