Identifier,Base use,Link,Phenotype,Category,n CpGs,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Identifier_base,Multiple_identifier_base,Sample_overlap_target_base,Comparison,Missing_value_note,Covariates
Markunas (2016) - Maternal age at delivery is associated,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC4934688/,Maternal age at conception,Lifestyle and environment,,,,,,Birth,Cord blood,450K,European,,,,,,,,,,,,,,,"technical factors, facial cleft status, seks, birth weight, maternal alcohol use, maternal smoking, maternal edu, partiyu"
Mendelson (2017) - Association of Body Mass Index,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/28095459/,BMI,Physical health indicator,,,,,,Adulthood,Whole blood,450K,White,,,,,,,,,,,,,,,"age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects"
Peng (2019) - Epigenome-wide association study reveals ,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6557548/,Allergy,Physical health indicator,,,,,,Mid childhood,Peripheral blood,450K,Mixed,,,,,,,,,,,,,,,"maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells)."
Portales-Casamar (2016) - DNA methylation signature of human,Summary statistics,https://epigeneticsandchromatin.biomedcentral.com/articles/10.1186/s13072-016-0074-4,Fetal alcohol syndrome,Physical health indicator,,,,,,Childhood and adolescence,Buccal cells,450K,Mixed,,,,,,,,,,,,,,,"clinical status, SVs"
Qi (2020) - Nasal DNA methylation profiling of,Summary statistics,https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub,Asthma and rihinitis,Physical health indicator,,,,,,Adolescence,Nasal epithelial cells,450K,Mixed,,,,,,,,,,,,,,," age, sex, batch, study center, and surrogate variables"
Reese (2019) - Epigenome-wide meta-analysis of,Summary statistics,https://www.sciencedirect.com/science/article/pii/S009167491832788X,Asthma,Physical health indicator,,,,,,"Birth, Childhood and adolescence",Whole blood,450K,Mixed,,,,,,,,,,,,,,,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Santos (2019) - Epigenome-wide DNA methylation in,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6615526/pdf/kepi-14-08-1614743.pdf,Socioeconomic position,Lifestyle and environment,,,,,,Birth,Placenta,EPICv1,Mixed,,,,,,,,,,,,,,,"maternal age, maternal race (White vs. not-White), infant sex, birth weight z-score, gestational age, acute inflammation of the placenta chorion, the top 10 surrogate variables from SmartSVA to account for cell-type heterogeneity, and second-hand smoking exposure during pregnancy."
Sharp (2017) - Maternal BMI at the start of pregnancy,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC5656174/,Pre-pregnancy overweight,Lifestyle and environment,,,,,,Birth,Cord blood,450K,Mixed,,,,,,,,,,,,,,,"maternal age, maternal social class, maternal smoking status and parity, technical covariates, cell type"
Sharp (2018) - Maternal alcohol consumption and offspring,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5753623/,Prenatal alcohol exposure,Lifestyle and environment ,,,,,,Birth,Cord blood,450K,European,,,,,,,,,,,,,,,"maternal age, maternal education, maternal smoking status, technica covariates, cord blood reference panel"
Sikdar (2019) - Comparison of smoking-related DNA,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/31536415/,Maternal smoking,Lifestyle and environment ,,,,,,Birth,"Multiple (Cord blood, Whole blood)",450K,Mixed,,,,,,,,,,,,,,,"age (continuous), sex and cell-type proportion, batch effects"
Wahl (2019) - Epigenome-wide association study of,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5570525/,BMI,Physical health indicator,,,,,,Adulthood,Whole blood,450K,Mixed,,,,,,,,,,,,,,,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Xu (2021) - Shared DNA methylation signatures in,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/,Allergy,Physical health indicator,,,,,,Childhood,Whole blood,450K,European,,,,,,,,,,,,,,,"sex, cohort, and technical covariables"
Zhang (2019) - DNA methylation and allergic sensitizations,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599678/,Atopic status,Physical health indicator,,,,,,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",European,,,,,,,,,,,,,,,"15 PCs, array, gender, age, cell-type"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2021.04.022,BAFopathy syndrome: no subtype specified,Genetic syndromes,140.0,889.0,140.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Genetic syndromes,103.0,754.0,5.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,CHARGE syndrome,Genetic syndromes,148.0,809.0,60.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Claes-Jensen syndrome,Genetic syndromes,127.0,783.0,34.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Cornelia de Lange syndrome (CdLS),Genetic syndromes,128.0,790.0,41.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,"Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)",Genetic syndromes,106.0,754.0,5.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Genetic syndromes,105.0,768.0,32.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,"Intellectual developmental disorder, X-linked 93 (MRX93)",Genetic syndromes,110.0,754.0,5.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Kabuki syndrome,Genetic syndromes,153.0,836.0,87.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Kleefstra syndrome (Kleefstra),Genetic syndromes,107.0,769.0,20.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Koolen de Vreis syndrome (KDVS),Genetic syndromes,136.0,755.0,6.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Rubinstein-Taybi syndrome (RSTS),Genetic syndromes,139.0,788.0,39.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Sotos syndrome,Genetic syndromes,112.0,811.0,62.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Tatton–Brown–Rahman syndrome (TBRS),Genetic syndromes,139.0,763.0,14.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Wiedemann-Steiner syndrome (WDSTS),Genetic syndromes,104.0,765.0,16.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Williams–Beuren deletion syndrome (WBS),Genetic syndromes,82.0,770.0,21.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,X-linked alpha-thalassemia/mental retardation syndrome (ATRX),Genetic syndromes,101.0,767.0,18.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),Reported | Specifivity/sensitivity = 100%,,,,No,No,"Cell type, 10 PCs"
Awamleh (2022) - DNA methylation signature associated with Bohring,Validated algorithm,"https://www.embase.com/search/results?subaction=viewrecord&id=L2028142302&from=export_x000D_
http://dx.doi.org/10.1038/s41431-024-01538-6",Bohrin Opitz Syndrome (BOS),Genetic syndromes,763.0,52.0,17.0,35.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Statistical significance | P-value | FDR < .05,Association DNAm phenotype | Actual change in methylation| 10%,,,,Penalized regression | Support vector machine,No,Yes (n = 171) ,No actual number reported,,,,No,No,"Age, sex, cell-type, DNAm age residual (from Horvath DNAm age calculator) "
Capper (2018) - DNA methylation-based classification of,Validated algorithm,https://www.nature.com/articles/nature26000,Brain tumour,Cancer,,2801.0,,,Cohort,Childhood and adolescence,Tumour cells,450K,Not reported,,,,,,Machine learning | Random forest,split 20/80; cross-valition,Yes (n = 1104),Reported | AC = .99,,,,No,No,batch
Capper (2018) - DNA methylation-based classification of,Validated algorithm,https://www.nature.com/articles/nature26000,Central nervous system tumour ,Cancer,,2801.0,,,Cohort,Childhood and adolescence,Tumour cells,450K,Not reported,,,,,,Machine learning | Random forest,split 20/80; cross-valition,Yes (n = 1104),Reported | AC = .99,,,,No,No,batch
Capper (2018) - DNA methylation-based classification of,Validated algorithm,https://www.nature.com/articles/nature26000,Glioma,Cancer,,2801.0,,,Cohort,Childhood and adolescence,Tumour cells,450K,Not reported,,,,,,Machine learning | Random forest,split 20/80; cross-valition,Yes (n = 1104),Reported | AUC = .99,,,,No,No,batch
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,ADAMTS,Biological markers,51.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Adiponectin,Biological markers,39.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Afamin,Biological markers,37.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Alpha-L-iduronidase,Biological markers,67.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Aminoacylase-1,Biological markers,395.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Beta-2-microglobulin,Biological markers,311.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
