Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,19.0,28.0,Pre-established MPS,747.0,1278.0,143.0,168.0,604.0,110.0,Population-based,Population-based,Adolescence,Birth,Saliva,Cord blood,450K,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,Reported | AUC = 0.64,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",Yes,Yes,Overlapping,Not reported,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry","gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,19.0,28.0,Pre-established MPS,753.0,1278.0,155.0,168.0,598.0,110.0,Population-based,Population-based,Mid childhood,Birth,Saliva,Cord blood,450K,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,Reported | AUC = 0.61,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",Yes,Yes,Overlapping,Not reported,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry","gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking (newborns),Maternal smoking (newborns),Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,568.0,568.0,Pre-established MPS,747.0,754.0,143.0,,604.0,,Population-based,Population-based,Adolescence,Adulthood,Saliva,Peripheral blood,450K,450K,Mixed,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,"Yes (later timepoint, n=230)",Reported | AUC = 0.68,"Reported | AUC 0.69 [95% confidence interval (CI) 0.67, 0.73]",Yes,No,Overlapping,Not reported,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry","Maternal age at birth and head of household social class, SVs",No,
Maternal smoking (newborns),Maternal smoking (newborns),Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,568.0,568.0,Pre-established MPS,753.0,754.0,155.0,,598.0,,Population-based,Population-based,Mid childhood,Adulthood,Saliva,Peripheral blood,450K,450K,Mixed,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,"Yes (later timepoint, n=230)",Reported | AUC = 0.69,"Reported | AUC 0.69 [95% confidence interval (CI) 0.67, 0.73]",Yes,No,Overlapping,Not reported,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry","Maternal age at birth and head of household social class, SVs",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,28.0,28.0,Pre-established MPS,260.0,1278.0,,168.0,,110.0,Population-based,Population-based,Birth,Birth,Cord blood,Cord blood,EPICv1,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,"Reported | beta coefficient | beta = 0.77, se = 0.09","Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",Yes,Yes,Overlapping,Not reported,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.","gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking (newborns),Maternal smoking (newborns),Lifestyle and environment,Lifestyle and environment,Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,568.0,568.0,Pre-established MPS,260.0,754.0,,,,,Population-based,Population-based,Birth,Adulthood,Cord blood,Peripheral blood,EPICv1,450K,Mixed,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,"Yes (later timepoint, n=230)","Reported | beta coefficient | beta = 0.65, se = 0.10","Reported | AUC 0.69 [95% confidence interval (CI) 0.67, 0.73]",Yes,No,Overlapping,Not reported,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.","Maternal age at birth and head of household social class, SVs",No,
Maternal smoking (older children),Maternal smoking (older children),Lifestyle and environment,Lifestyle and environment,Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,19.0,19.0,Pre-established MPS,260.0,754.0,,,,,Population-based,Population-based,Birth,Adulthood,Cord blood,Peripheral blood,EPICv1,450K,Mixed,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,"Yes (later timepoint, n=230)","Reported | beta coefficient | beta = 0.70, se = 0.11","Reported | AUC 0.72 (95% CI 0.69, 0.76; P for difference = 0.97)",Yes,No,Overlapping,Not reported,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.","Maternal age at birth and head of household social class, SVs",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,21.0,,Published summary statistics (semi-supervised),260.0,,,,,,Population-based,,Birth,Birth,Cord blood,"Multiple (Cord blood, Whole blood)",EPICv1,450K,Mixed,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | beta coefficient | beta = 0.82, se = 0.10",,Yes,,Overlapping,,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.","age (continuous), sex and cell-type proportion, batch effects",,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,198.0,,Published summary statistics (semi-supervised),260.0,,,,,,Population-based,,Birth,Birth,Cord blood,"Multiple (Cord blood, Whole blood)",EPICv1,450K,Mixed,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | beta coefficient | beta = 0.69, se = 0.10",,Yes,,Overlapping,,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.","age (continuous), sex and cell-type proportion, batch effects",,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Chen et al.,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,344.0,,Published summary statistics (semi-supervised),260.0,,,,,,Population-based,,Birth,Birth,Cord blood,"Multiple (Cord blood, Whole blood)",EPICv1,450K,Mixed,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | beta coefficient | beta = 0.64, se = 0.09",,Yes,,Overlapping,,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes.","age (continuous), sex and cell-type proportion, batch effects",,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Choudhary et al.,2024.0,Developmental origins of psycho-cardiometabolic multimorbidity in adolescence and their underlying pathways through methylation markers: a two-cohort study,204.0,204.0,Pre-established MPS,1485.0,995.0,,296.0,,699.0,Population-based,Population-based,Adolescence,Adolescence,Peripheral blood,Peripheral blood,450K,450K,European,European,,Association DNAm phenotype | P-value | p < 1e-5,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 517),Not reported,"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",No,Yes,Not reported,Reported,Not reported,Not reported,Yes,
BAFopathy syndrome: no subtype specified,BAFopathy syndrome: no subtype specified,Genetic syndromes,Genetic syndromes,Colin et al.,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,,140.0,Pre-established MPS,30.0,889.0,,140.0,,749.0,Cohort study,Case control,Childhood and adolescence,Not reported,Whole blood,Peripheral blood,"Multiple (450K, EPICv1)","Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not reported,Not reported,No,No,No,No,No,"Cell type, 10 PCs",No,
Kabuki syndrome,Kabuki syndrome,Genetic syndromes,Genetic syndromes,Colin et al.,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,,153.0,Pre-established MPS,30.0,836.0,,87.0,,749.0,Cohort study,Case control,Childhood and adolescence,Not reported,Whole blood,Peripheral blood,"Multiple (450K, EPICv2)","Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not reported,Not reported,No,No,No,No,No,"Cell type, 10 PCs",No,
Rubinstein-Taybi syndrome (RSTS),Rubinstein-Taybi syndrome (RSTS),Genetic syndromes,Genetic syndromes,Colin et al.,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,,139.0,Pre-established MPS,30.0,788.0,,39.0,,749.0,Cohort study,Case control,Childhood and adolescence,Not reported,Whole blood,Peripheral blood,"Multiple (450K, EPICv1)","Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not reported,Not reported,No,No,No,No,No,"Cell type, 10 PCs",No,
Velocardiofacial syndrome (VCFS),Velocardiofacial syndrome (VCFS),Genetic syndromes,Genetic syndromes,Colin et al.,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,,,Pre-established MPS,30.0,,,,,,Cohort study,Case control,Childhood and adolescence,Not reported,Whole blood,Peripheral blood,"Multiple (450K, EPICv1)","Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,Not reported,Not reported,No,No,No,Not reported,No,"Cell type, 10 PCs",No,
Wolf-Hirschhorn syndrome (WHS),Wolf-Hirschhorn syndrome (WHS),Genetic syndromes,Genetic syndromes,Colin et al.,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,,,Pre-established MPS,30.0,,,,,,Cohort study,Case control,Childhood and adolescence,Not reported,Whole blood,Peripheral blood,"Multiple (450K, EPICv1)","Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,Not reported,Not reported,No,No,No,Not reported,No,"Cell type, 10 PCs",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Conole et al.,2023.0,Immuno-epigenetic signature derived in saliva associates with the encephalopathy of prematurity and perinatal inflammatory disorders,7.0,8.0,Pre-established MPS,258.0,12974.0,155.0,,103.0,,Cohort study,Cohort,Very early childhood,Adulthood,Saliva,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | p < 1.15e-7,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,Discovery EWAS | Linear regression,Discovery EWAS | Linear mixed model,No,No,No,No,"Reported | odds ration | OR range =2.00-4.71, p < 0.01",Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,"gestational age at birth, infant sex and birthweight z-score (model H2), and then adjusted for gestational age at birth, infant sex and birthweight z-score as well as administration of MgSO4 and corticosteroids in pregnancy (model H3)","age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
PM (air polution),PM (air polution),Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,3.0,,Published summary statistics (semi-supervised),744.0,,,,,,Population-based,,Birth,Adulthood,Cord blood,Whole blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",450K,European,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,,No,,Yes,,"Reported | AUC = 0.54 (0.49–0.61)FAMILY, 0.87 ( 0.81–0.93) CHILD",,No,,Mean imputation,,Only on EWAS level,"stratified by cohort and race/ethnicity (African-, European-, and Hispanic/
Latinx-American) and adjusted for age (years) at blood draw, education (high school
education or lower, more than high school), smoking status (current, former, never), alcohol
use (current, former, never), physical activity (metabolic equivalent of task [MET-hours/
week]), body mass index (BMI, kg/m2
), neighborhood socioeconomic status (Roux et al.,
2001), mean temperature (°C), mean dew point (°C), mean barometric pressure (kPa),
season, and methylation-related variables, which included ten principal components (PCs)
for genetic ancestry (when available), leukocyte proportions, and technical covariates.
Analyses additionally controlled for cohort-specific covariates, including binary sex (male,
female) in ARIC; randomly assigned treatment group (CT subpopulations of WHI-AS311,
WHI-BAA23, WHI-EMPC); case-control status (WHI-AS311, WHI-BAA23); and control
matching criteria (WHI-AS311).",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,2620.0,,Published summary statistics (semi-supervised),744.0,,,,,,Population-based,,Birth,Birth,Cord blood,Cord blood,"Multiple (450K, GMEL (~3000 CpGs from EPICv1))",450K,European,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear regression,,No,,Yes,,"Reported | AUC = 0.84 (0.77–0.91) FAMILY, 0.87 ( 0.81–0.93) CHILD",,No,,Mean imputation,,Only on EWAS level,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,15.0,,Published summary statistics (semi-supervised),1247.0,,,,,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Penalized regression | Lassosum,,No,,Yes,,"Reported | AUC = 0.89 (0.83–0.94) FAMILY, 0.87 ( 0.81–0.93) CHILD",,No,,"Mean imputation, overlapping sites",,Only on EWAS level,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Deng et al.,2024.0,Maternal smoking DNA methylation risk score associated with health outcomes in offspring of European and South Asian ancestry,63.0,,Published summary statistics (semi-supervised),744.0,,,,,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Penalized regression | Lassosum,,No,,Yes,,Reported | AUC = 0.87 (0.80–0.94) CHILD,,No,,"Mean imputation, overlapping sites",,Only on EWAS level,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",No,
